bank,question_index,question_id,number,type,answer,audit_status,severity,confidence,issue_types,recommended_type,recommended_answer,reason,suggested_fix,stem_preview
history,269,q0028,28,multi,AB,invalid,high,1.0,stem_error;option_error,multi,AB,选项D末尾混入了下一题题干'6.近代中国反侵略战争失败的主要原因是（ ）。'，属于题干残留，导致选项错误。,将选项D修改为'D. 控制中国的内政外交'，删除多余文本。,近代中国，列强对华文化渗透主要表现在（ ）。
history,304,q0137,137,multi,CD,suspect,high,1.0,analysis_mismatch,multi,CD,解析中称正确答案为A和D，但实际正确选项应为C和D，与当前答案CD矛盾。,修改解析：新文化运动以《新青年》杂志和北京大学为主要阵地，因此正确答案为C和D。,新文化运动的主要阵地有（ ）。更多资料请加河南大学考试墙Q2139034270、河南大学小过儿QQ2221565155
history,307,q0257,257,multi,ABC,invalid,high,1.0,analysis_mismatch,multi,AB,解析指出D选项不正确，但当前答案为ABC，包含D。解析与答案矛盾。,将当前答案改为AB，或修改解析使其支持ABC。,中华人民共和国的成立，标志着（ ）
history,322,q0067,67,multi,ABCD,invalid,high,1.0,answer_mismatch;analysis_mismatch,multi,ABD,当前答案为ABCD，但解析明确指出C选项“推行预备立宪”不属于洋务运动，正确答案应为ABD，答案与解析矛盾。,将current_answer改为ABD，或修改解析以包含C选项（但历史事实不支持）。,从19世纪60年代到90年代，洋务派举办的洋务事业主要有（ ）
sixiu,51,q0051,51,judge,错,invalid,high,1.0,analysis_mismatch,judge,对,解析明确说明人生价值是人生观的核心，与题干一致，但当前答案为'错'，解析与答案矛盾。,将当前答案改为'对'，或修改解析以支持'错'的结论。,人生价值是人生观的核心。（	）
sixiu,108,q0108,108,single,B,invalid,high,1.0,answer_mismatch;analysis_mismatch,single,A,题干问的是社会层面的价值追求，社会主义核心价值观社会层面是自由、平等、公正、法治，但解析说正确答案是A（国家层面），且当前答案B与解析矛盾。,将当前答案改为A，或修改解析使其与答案B一致。若选B，解析应说明社会层面价值追求；若选A，则题干应改为国家层面。,"回答我们要建设什么样的社会的重大问题,与实现国家治理体系和治理能力现代化的要求相契合,揭示社会主义社会发展的价 值取向,这一价值追求是()。"
sixiu,110,q0110,110,single,C,invalid,high,1.0,option_error;duplicate_option,single,C,选项A和B内容完全相同，均为'理论认同'，存在重复选项，导致选项缺失一个有效选项。,将选项B修改为其他内容，例如'B. 理论认同'改为'B. 理论认同'（但需不同），或删除重复项并调整选项顺序。,"习近平说：“我国是一个有着13亿多人口、56个民族的大国,确立反映全国各族人民共同认同的价值观‘最大公约数’,使 全体人民同心同德、团结奋进,关乎国家前途命运,关乎人民幸福安康。”。其中的“最大公约数”是指（）"
sixiu,202,q0202,202,multi,BCD,invalid,high,1.0,answer_mismatch;analysis_mismatch,multi,ABC,当前答案BCD与解析中给出的正确答案ABC不一致，且解析明确指出稳定性并非鲜明特点，因此答案应为ABC。,将current_answer改为ABC，并确保analysis与答案一致。,下列哪些是个人品德具有的鲜明特点（）
sixiu,211,q0211,211,multi,ABC,invalid,high,1.0,answer_mismatch;analysis_mismatch,single,C,题干问的是'最简单、最起码的公共道德准则'，应选社会公德。当前答案ABC错误，解析也错误，将职业道德和家庭道德归为社会公德的具体体现，但职业道德和家庭道德并非公共道德准则。,将题型改为single，答案改为C，解析改为：社会公德是人们在公共生活中应遵守的最基本道德准则，是维护社会公共生活正常进行的最简单、最起码的行为规范。,人们在社会生活中形成和应当遵守的最简单、最起码的公共道德准则是()
sixiu,260,q0260,260,single,C,invalid,high,1.0,answer_mismatch;analysis_mismatch,single,A,题干强调法律对所有人平等适用，对应普遍适用性；当前答案C与解析矛盾，解析指出正确答案为A。,将current_answer改为A，并修正analysis使其与答案一致。,"任何人不论权力大小、职位高低,只要有违法犯罪行为,就要依法追究和承担法律责任。这体现的是法律的（）"
sixiu,264,q0264,264,single,C,invalid,high,1.0,answer_mismatch;analysis_mismatch,single,D,题干问权利保障的关键环节，解析明确指出司法保障是关键环节，但当前答案选C（行政保护），与解析矛盾。,将当前答案改为D，或修改解析使其支持C选项。,"权利保障是法治思维的基本内容之一。权利的法律保障包括四方面的内容,其中,权利保障的关键环节是（）"
xigai,221,q0119,119,judge,错,invalid,high,1.0,analysis_mismatch,judge,对,题干完整表述了'人民是历史的创造者，是决定党和国家前途命运的根本力量'，与官方表述一致，应判断为正确。但解析称题干缺少关键部分，与事实不符，导致答案与解析矛盾。,将答案改为'对'，并修改解析为：该表述正确，符合马克思主义唯物史观，人民是历史的创造者，是决定党和国家前途命运的根本力量。,人民是历史的创造者，是决定党和国家前途命运的根本力量。（ ）
xigai,302,q0120,120,judge,对,invalid,high,1.0,analysis_mismatch;answer_mismatch,judge,错,解析明确指出题干中'组织路线'应为'群众路线'，因此原题表述错误，应判'错'，但当前答案为'对'，答案与解析矛盾。,将当前答案改为'错'，或修改解析使其支持'对'。,组织路线始终是党的生命线和根本工作路线，是我们党永葆青春活力和战斗力的重要传家宝。（ ）
mayuan,411,q0411,111,judge,对,suspect,high,0.95,analysis_mismatch,judge,错,题干中“反映人与人之间的物质关系”表述错误，使用价值应反映人与物的关系。解析指出错误，但当前答案却为“对”，答案与解析矛盾。,将当前答案改为“错”，或修改题干中“人与人之间的物质关系”为“人与物的关系”。,使用价值是指商品能够满足人的某种需要的有用性，反映的是人与人之间的物质关系，是商品的自然属性。
sixiu,42,q0042,42,single,D,suspect,high,0.95,answer_mismatch;analysis_mismatch,single,ABC,题干问人生目的是核心的原因，正确选项应为A、B、C，但当前答案选D，且解析指出D错误，说明答案与解析矛盾。,将current_answer改为ABC，或修改题干为反向选择。,人生目的是人生观的核心，这是因为（	）
sixiu,140,q0140,140,single,B,suspect,high,0.95,answer_mismatch;analysis_mismatch,single,A,当前答案B与解析中明确指出的正确答案A矛盾，解析内容支持A选项。,将current_answer改为A，或修改解析使其支持B选项。,"马克思主义道德观认为,道德在本质上是（）的特殊调节方式。"
xigai,290,q0031,31,single,B,suspect,high,0.95,option_error,single,B,选项A、B、C、D中均出现'对本'，应为'基本'，属于严重错别字。题干和答案逻辑正确，但选项错误影响理解。,将选项中的'对本'改为'基本'：A. 党的基本路线 B. 党的基本理论 C. 党的基本方略 D. 党的基本政策,（ ）是坚持和发展中国特色社会主义的行动指南。
history,34,q0240,240,multi,BCD,suspect,medium,1.0,answer_mismatch,multi,ACD,三大法宝是统一战线、武装斗争和党的建设，对应选项A、C、D。当前答案BCD包含B群总路线（应为群众路线），且缺少A统一战线，与解析矛盾。,将当前答案改为ACD，并修正选项B的错别字为'群众路线'。,中国共产党在中国革命中战胜敌人的三个法宝是（ ）。
history,72,q0173,173,single,B,suspect,medium,1.0,duplicate_option,single,B,选项C和D均为'党的七大'，重复。应修改其中一个为正确选项，如'六届六中全会'已正确，但选项重复需修正。,将选项D改为'党的六届七中全会'或其他不重复选项，或删除重复选项。,1938年，毛泽东在（ ）上明确提出了“马克思主义中国化”这个命题。
xigai,372,q0343,343,single,C,suspect,medium,1.0,duplicate_option,single,C,选项C和D内容完全相同，均为'军种主建'，属于重复选项。,删除重复的选项D，或修改为其他正确选项如'联合指挥'等。,国防和军队改革取得历史性突破，形成军委管总、战区主战、（ ）新格局。
history,90,q0219,219,multi,ABC,suspect,medium,0.95,stem_error,multi,ABC,题干末尾包含广告信息'更多资料请加河南大学考试墙QQ2139034270、河南大学小过儿Q92221565155'，属于无关文本，应删除。,删除题干末尾的广告文本，仅保留'抗日民族统一战线的策略总方针是（ ）。',抗日民族统一战线的策略总方针是（ ）。更多资料请加河南大学考试墙QQ2139034270、河南大学小过儿Q92221565155
history,97,q0044,44,single,D,suspect,medium,0.95,analysis_mismatch,single,D,解析中称选项B准确概括了核心思想，但当前答案为D，解析与答案矛盾。,修改解析最后一句为：选项D准确概括了这一核心思想。,洋务运动的指导思想是（ ）
history,183,q0136,136,multi,AB,suspect,medium,0.95,analysis_mismatch,multi,AB,解析中正确指出基本口号是民主与科学，对应选项A和B，但解析末尾却错误地写成了A和D，与当前答案AB不一致。,将解析最后一句改为'因此，正确答案是A和B。',新文化运动的基本口号是（ ）。
history,291,q0223,223,multi,BC,suspect,medium,0.95,answer_mismatch,multi,BCD,解析明确指出《新民主主义论》也是核心文献，但当前答案BC未包含D，与解析矛盾。,将当前答案改为BCD，或修改解析排除D选项。,在20世纪30年代后期和40年代前期，毛泽东论述新民主主义革命理论的著作是（ ）
xigai,101,q0188,188,multi,ABC,suspect,medium,0.95,answer_mismatch,multi,ABCD,题干为'必须坚持教育（ ）'，选项D'为改革开放和社会主义现代化建设服务'是教育方针的重要组成部分，常见表述为'四为服务'，应全选。当前答案ABC遗漏D，解析也未提及D，与标准表述不符。,将当前答案改为ABCD，解析补充说明教育必须坚持'四为服务'，包括D选项。,必须坚持教育（ ）。
history,39,q0134,134,single,A,suspect,medium,0.9,analysis_mismatch,,,解析中讨论的选项A内容为'五四运动是资产阶级领导的民主革命运动'，但题干中选项A实际为'是中共领导的彻底的反帝反封建革命运动'，两者不一致，解析与当前答案不匹配。,请修正解析，使其与题干选项A内容一致，或调整选项A文本以匹配解析。,下列关于五四运动的评价，不确切的是（ ）
history,40,q0019,19,single,C,suspect,medium,0.9,analysis_mismatch,,,解析中称D是正确答案，但当前答案为C，且解析内容与答案矛盾。,将解析中的'D是正确答案'改为'C是正确答案'，或修改当前答案为D。,在中国近代史上规定允许外国人在中国办工厂的条约是（ ）。
